Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply,52 Week Range,Day Chart
ACE28674-USD,Fusionist USD,9.2989,-0.1821,-1.92%,204.291M,60.462M,60.462M,60.462M,21.97M,,
OAS-USD,Oasys USD,0.100767,-0.000740,-0.73%,198.017M,1.27M,1.27M,1.27M,1.965B,,
ONT-USD,Ontology USD,0.225831,-0.002654,-1.16%,197.659M,9.45M,9.45M,9.45M,875.25M,,
BTRST-USD,Braintrust USD,0.871768,+0.049003,+5.96%,195.515M,1.698M,1.698M,1.698M,224.274M,,
BAL-USD,Balancer USD,3.5749,-0.0606,-1.67%,195.761M,6.25M,6.25M,6.25M,54.76M,,
CHR-USD,Chromia USD,0.248634,+0.000376,+0.15%,195.783M,10.729M,10.729M,10.729M,787.434M,,
ONE3945-USD,Harmony USD,0.014160,-0.000067,-0.47%,195.202M,5.631M,5.631M,5.631M,13.786B,,
FLUX-USD,Flux USD,0.571836,-0.012854,-2.20%,194.94M,7.898M,7.898M,7.898M,340.902M,,
FNSA-USD,FINSCHIA USD,25.71,-0.28,-1.09%,194.37M,1.783M,1.783M,1.783M,7.559M,,
MOVR-USD,Moonriver USD,21.98,-0.71,-3.11%,192.129M,18.474M,18.474M,18.474M,8.74M,,
WAXP-USD,WAX USD,0.055514,-0.000609,-1.09%,189.003M,6.743M,6.743M,6.743M,3.405B,,
XVS-USD,Venus USD,11.97,-0.50,-3.98%,187.355M,28.935M,28.935M,28.935M,15.658M,,
POND-USD,Marlin USD,0.023425,+0.004125,+21.37%,189.45M,43.313M,43.313M,43.313M,8.087B,,
SXP-USD,Solar USD,0.308646,-0.002983,-0.96%,182.938M,12.72M,12.72M,12.72M,592.71M,,
FLEX-USD,FLEX USD,1.8470,-0.0227,-1.21%,182.239M,"183,506","183,506","183,506",98.665M,,
CTSI-USD,Cartesi USD,0.234300,-0.005506,-2.30%,181.767M,9.386M,9.386M,9.386M,775.789M,,
CKB-USD,Nervos Network USD,0.004170,-0.000023,-0.55%,181.198M,38.975M,38.975M,38.975M,43.45B,,
ASM-USD,Assemble Protocol USD,0.131155,+0.031912,+32.16%,178.742M,19.474M,19.474M,19.474M,1.363B,,
VBTC-USD,Venus BTC USD,863.76,-7.53,-0.86%,177.793M,431.489M,431.489M,431.489M,"205,836",,
SFUND-USD,Seedify.fund USD,3.0592,-0.0417,-1.35%,177.518M,8.711M,8.711M,8.711M,58.029M,,
IOST-USD,IOST USD,0.008333,-0.000009,-0.11%,177.617M,7.465M,7.465M,7.465M,21.315B,,
MAV-USD,Maverick Protocol USD,0.710373,+0.001526,+0.22%,177.593M,47.023M,47.023M,47.023M,250M,,
GAL11877-USD,Galxe USD,1.7892,+0.0281,+1.60%,170.149M,11.117M,11.117M,11.117M,95.098M,,
